"track_name","artist_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"BBoom BBoom","MOMOLAND","3BPoSr2pO34Aan6alFfVto",0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,4
"I Love You","EXID","7n2HVHWqFsyAOs5HqmE1Dl",0.695,0.832,9,-3.455,0,0.0288,0.000371,0.000483,0.469,0.249,111.997,194699,4
"Hi High","LOONA","0RqzUS7AkBhQDrBxcGFeDv",0.669,0.919,7,-2.262,0,0.0711,0.0357,6.81e-06,0.222,0.538,96.955,196864,4
"Starry Night","MAMAMOO","5MaDeMdqsPsZTxNWdEZPVH",0.58,0.773,9,-3.302,0,0.05,0.656,0,0.112,0.506,124.148,211237,4
"STAY","BLACKPINK","4TWHREp4wv0TmewqR6rgRd",0.628,0.433,1,-6.808,1,0.0383,0.569,7.71e-06,0.104,0.343,88.074,230400,4
"OOH-AHH하게 Like OOH-AHH","TWICE","41r0BLWVIdo7CaKowcUDgM",0.721,0.875,6,-1.166,1,0.0783,0.241,0.000105,0.381,0.692,141.994,215091,4
"Oh My!","SEVENTEEN","4JViGq60SvqtQXI3WK0OLS",0.682,0.888,5,-3.25,0,0.267,0.245,0,0.0552,0.903,91.966,195005,4
"What's Up Danger (with Black Caviar)","Blackway","5zsHmE2gO3RefVsPyw2e3T",0.701,0.755,2,-5.82,1,0.0417,0.00363,0.000795,0.121,0.116,95.036,222307,4
"Hello Tutorial","Zion.T","4vh0x47AvwbCywPOlEmfFQ",0.739,0.349,0,-7.477,1,0.0604,0.675,0,0.326,0.496,98.049,202343,4
"Everytime, Everyday","Dinner Coat","48mjHac835WsCW30MDMxMV",0.454,0.509,4,-9.493,1,0.0452,0.495,0.00173,0.109,0.133,69.11,237811,4
"so yeoun's parting","WABLE","1Qm0XiUq7T6GmFfnjxdPiD",0.655,0.602,11,-6.979,0,0.206,0.319,5.65e-06,0.122,0.418,85.993,208734,4
"showtime","Chamsom","11Wb2mNcp7nKa2ZNpAuwoy",0.825,0.453,1,-8.772,1,0.0464,0.482,9.31e-06,0.0875,0.83,95.957,192000,4
"Red Flavor","Red Velvet","7nKQ5WAcjnG48knyLuo8gO",0.709,0.917,9,-3.315,1,0.189,0.0409,0,0.0839,0.515,125.042,191139,4
"LAST DANCE","BIGBANG","73szhI6oOawKlv6AxgHIS8",0.621,0.673,1,-3.194,0,0.0606,0.467,0,0.323,0.289,143.889,279719,4
"Regular - Korean Version","NCT 127","2lAxhE5s3x7OS9sfhsgT1F",0.733,0.801,9,-5.339,0,0.0765,0.237,0,0.287,0.878,133.998,217707,4
"Really","BLACKPINK","5qA5DAR5xTjQUGrl0eBbmR",0.696,0.881,1,-2.082,1,0.104,0.0235,0,0.277,0.947,142.019,197789,4
"Dance The Night Away","TWICE","5ilOXZ0vqTX69rjRubPivH",0.709,0.861,0,-2.905,1,0.0941,0.106,4.73e-05,0.112,0.779,118.089,180809,4
"KILLING ME","iKON","27kB4qLUCV8nZd2eOgj1Tk",0.76,0.672,9,-5.277,0,0.0732,0.465,0,0.205,0.505,127.986,193734,4
"Sunrise","GFRIEND","1e7eOq89QU6vGYCJp9yW2L",0.453,0.849,6,-1.337,0,0.125,0.428,0,0.1,0.638,173.917,216488,4
"Gashina","SUNMI","0jFHMDRXxKaREor3hBEEST",0.722,0.833,6,-3.915,1,0.094,0.0556,0,0.195,0.53,93.941,180000,4
"Up & Down","EXID","6BKOhvRPY54uvfqWwg7MKi",0.714,0.812,7,-2.703,1,0.0351,0.00189,1.96e-06,0.229,0.377,112.018,189882,4
"Stay With Me","CHANYEOL","1HYzRuWjmS9LXCkdVHi25K",0.558,0.526,0,-4.686,0,0.033,0.431,0,0.126,0.202,124.709,192441,4
"It`s you","JEONG SEWOON","3dvPPS5KXskeRbrSY80gwt",0.38,0.417,2,-7.861,1,0.0317,0.722,0,0.0864,0.258,130.622,219506,4
"I Love You Boy","Suzy","5XXJnC5TvcL2QsAZ3Nxgku",0.458,0.384,8,-5.045,1,0.0267,0.734,0,0.0985,0.157,148.21,264539,3
"What If Love","WENDY","0cp40X5n65SX6flh0ZcDPW",0.59,0.481,1,-7.744,1,0.0286,0.514,1.05e-06,0.138,0.228,103.066,219632,4
"We All Lie","Hajin","6DyXREiYD3B4xgjjsfHfJ9",0.571,0.722,2,-5.092,0,0.0252,0.0357,0.00162,0.185,0.188,96.02,195764,4
"Rainbow","Rothy","7K85ZTO1yUfdBUeGt6Gc1l",0.627,0.695,5,-5.452,0,0.0583,0.661,0,0.125,0.702,176.045,212910,4
"It Has To Be You","4BOUT","1GUq2qT8Y3BZPPBfeZMvu9",0.677,0.695,4,-4.455,0,0.0592,0.653,1.26e-06,0.214,0.283,99.963,215983,4
"Der letzte Tanz","XIA","6t14DWPr2zOY8u6jqK72z8",0.435,0.388,2,-9.006,1,0.0562,0.749,0,0.0631,0.127,143.216,238396,4
"SOMEDAY","The Black Skirts","4Kt9W29N0fA23dQ81dWwQD",0.364,0.607,9,-7.847,1,0.0298,0.491,0.184,0.133,0.762,201.79,245000,4
"TAKE","Jus2","0wX7DQSE4BDyng6kpF2uPq",0.735,0.538,2,-4.544,1,0.0443,0.0728,0,0.17,0.657,99.96,192155,4
